topic_id,n_documents_2005_2025,slope,ci_low,ci_high,p_value,r_squared,recent_10yr_share,peak_year,q_value,trend_class,clinical_label,published_trend_class,published_slope
4,224,0.19902978039994837,0.15753642449917404,0.2405231363007227,4.938708130045752e-09,0.841392170233652,0.84375,2025,2.0495638739689868e-07,Emerging,KOOS and Knee-Specific PROMs,Emerging,0.214546
6,197,0.18943470456826822,0.131879200223537,0.24699020891299944,1.4324767405982079e-06,0.7140978012012544,0.9289340101522843,2020,1.4861946183706406e-05,Emerging,Observational Study Design and Statistical Methods,Emerging,0.185884
3,238,0.16583593621055906,0.12110518840951315,0.21056668401160497,2.6281840373823516e-07,0.7601417033764364,0.7941176470588235,2025,3.6356545850455866e-06,Emerging,Periprosthetic Joint Infection Diagnosis and Treatment,Emerging,0.167971
5,233,0.14050576716048868,0.07496666709217534,0.20604486722880203,0.0002524562398306245,0.5144919747626484,0.7682403433476395,2018,0.0009524485411791742,Emerging,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Emerging,0.13776
7,174,0.12495788252666841,0.0762691326125033,0.1736466324408335,3.4898247034238196e-05,0.6029658785460839,0.7701149425287356,2025,0.00018103465649011062,Emerging,Systematic Reviews and Meta-Analyses,Emerging,0.148132
9,183,0.08164352155096466,0.03072152953780658,0.13256551356412274,0.003320403386716798,0.3721313864295759,0.8032786885245902,2020,0.007066499515320365,Emerging,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),Emerging,0.064583
15,108,0.07897593031638234,0.039484351983063486,0.11846750864970118,0.0005014511128672923,0.4797341739598904,0.8240740740740741,2025,0.00160078624492251,Emerging,Medicare Reimbursement and Bundled Payments,Emerging,0.06704
10,137,0.0743199487371178,0.044424745112569025,0.10421515236166656,5.0589089423888575e-05,0.5876220280735327,0.781021897810219,2021,0.00024699378954016186,Emerging,Aseptic Loosening of Hip and Knee Implants,Emerging,0.072217
29,56,0.06053361717384235,0.03722114587403161,0.08384608847365309,3.0387200652755623e-05,0.6085453329913774,0.9285714285714286,2023,0.0001681425102785811,Emerging,Machine Learning Prediction of Arthroplasty Outcomes,Emerging,0.060617
36,49,0.05767737125440132,0.04359167871480544,0.07176306379399719,5.936881380337909e-08,0.7944876954461024,0.9387755102040817,2025,1.231902886420116e-06,Emerging,Periprosthetic Fracture Treatment and Fixation,Emerging,0.052326
35,44,0.05367426625218718,0.03348480921424317,0.07386372329013119,2.2902223962070357e-05,0.6197122752349612,0.9318181818181818,2024,0.0001462218914501415,Emerging,Registry-Based Revision Risk and Implant Survivorship,Emerging,0.064597
28,53,0.05218730725102171,0.035672909321159296,0.06870170518088413,2.4978843839430463e-06,0.6971988420707818,0.8867924528301887,2025,2.3036044874141425e-05,Emerging,Medicare Reimbursement and Bundled Payments (Proms),Emerging,0.066697
27,65,0.049882405243389265,0.023057958292862845,0.07670685219391568,0.000980202369095355,0.44361343577142687,0.9076923076923077,2017,0.002542399894841077,Emerging,Medicare Reimbursement and Bundled Payments (Costs),Emerging,0.041581
31,54,0.045691045816002016,0.02122926760685062,0.07015282402515341,0.00094221951767497,0.4458042350318653,0.8333333333333334,2023,0.0025227167731297585,Emerging,Hip-Spine Syndrome and Lumbar Fusion After THA,Emerging,0.049528
45,36,0.04453559909492633,0.03296564356920359,0.056105554620649076,1.509196901431134e-07,0.7735620966100765,0.9444444444444444,2025,2.5052668563756824e-06,Emerging,Direct Anterior Approach Total Hip Arthroplasty,Emerging,0.046474
61,30,0.04345614256230234,0.020347826627300027,0.06656445849730465,0.0008867703382325184,0.44915144750874225,0.9666666666666667,2024,0.0025227167731297585,Emerging,Clinical Trial Quality and Fragility Index in Arthroplasty,Emerging,0.039518
48,40,0.03914986292097401,0.01924456650239762,0.059055159339550405,0.000587104873101788,0.47143190811783975,0.9,2019,0.0017403465881231574,Emerging,Risk Assessment and Discharge Disposition Models,Emerging,0.032349
14,114,0.03847054442232294,-0.003999342452942034,0.08094043129758792,0.07328364429369702,0.15908874619772817,0.6754385964912281,2017,0.10487142200649746,Stable,THA Survivorship and Long-Term Aseptic Loosening,Stable,0.025527
60,25,0.03800057390997434,0.017377137731744485,0.0586240100882042,0.001063154635861342,0.4390858781554112,0.96,2024,0.0026739949932270118,Emerging,Bariatric Surgery Prior to Joint Arthroplasty,Emerging,0.046161
46,38,0.03610502032431158,0.01678956947018604,0.05542047117843712,0.0009360446230079434,0.4461679732557198,0.9210526315789473,2018,0.0025227167731297585,Emerging,Radiographic Implant Survival and Loosening Assessment,Emerging,0.034516
23,76,0.03594656397845043,-0.006194206327657166,0.07808733428455802,0.09017410559281068,0.14366425881215794,0.8157894736842105,2020,0.12474084607005477,Stable,Value-Based Care and Alternative Payment Models,Stable,0.034304
43,41,0.03441622070816787,0.008477178418805468,0.06035526299753027,0.01200869920079126,0.28870914714117724,0.7804878048780488,2021,0.020808010505320305,Emerging,National Joint Replacement Registry Studies,Emerging,0.028071
0,345,0.03249256107301834,-0.05968377661894118,0.12466889876497786,0.4696509235944506,0.027851989316889147,0.6550724637681159,2017,0.5152226080172178,Stable,Tranexamic Acid and Perioperative Blood Management,Stable,0.033222
41,40,0.03222220081310752,0.007728535159889496,0.05671586646632554,0.012640319884922516,0.2852153452067814,0.875,2021,0.02141115409078712,Emerging,Online Research Quality and Surgical Training Surveys,Emerging,0.030699
37,49,0.031234456138688863,0.006726932858364745,0.05574197941901298,0.015217122021805522,0.2724682206518311,0.7551020408163265,2025,0.02476512015313448,Emerging,Femoral Head Collapse and Osteonecrosis,Stable,0.02217
40,45,0.030617459142903074,0.005300338093320679,0.05593458019248547,0.020353227116609664,0.25217606214231925,0.8222222222222222,2024,0.03248688174381927,Emerging,KOOS and Knee-Specific PROMs (Expectations),Stable,0.024076
55,36,0.03059925741779755,0.016940793161529518,0.04425772167406558,0.00015983031922327747,0.5364386669678192,0.8055555555555556,2021,0.0006632958247766015,Emerging,Cementless Stem Subsidence and Early Fixation,Emerging,0.023174
47,41,0.030227785269596914,0.011434751753505577,0.04902081878568825,0.0032405273689134007,0.37363157759420684,0.8536585365853658,2020,0.007066499515320365,Emerging,Ambulatory Surgery Center and Outpatient TJA,Emerging,0.022385
72,21,0.029858107982830975,0.011083982555919233,0.048632233409742716,0.0035293424186146434,0.3683584664074756,0.9523809523809523,2023,0.007323385518625385,Emerging,Deep Learning and Computer Vision in Arthroplasty,Emerging,0.02624
32,59,0.028280314337048015,0.0014421952639847961,0.05511843341011123,0.0399358686149301,0.20382882547107506,0.711864406779661,2018,0.06254107726489054,Stable,Cost-Effectiveness of Joint Arthroplasty,Stable,0.020452
54,36,0.027714377699496705,0.00946817884850118,0.04596057655049223,0.004939962168752976,0.34723169113435914,0.8888888888888888,2023,0.009762306190630881,Emerging,Morbid Obesity and Joint Arthroplasty Complications,Stable,0.020564
34,53,0.027658563332524717,-0.00993416890923798,0.06525129557428741,0.14006766906954526,0.11096025991791525,0.8490566037735849,2020,0.1816502583245665,Stable,"Opioid Use, Prescription Patterns, and Stewardship",Stable,0.024993
53,36,0.026711928445030234,0.010205267765841804,0.043218589124218665,0.003093824930175356,0.3764774891063033,0.8333333333333334,2020,0.006940201870393366,Emerging,Spinopelvic Parameters and Cup Positioning in THA,Emerging,0.021905
80,21,0.02607988457211713,0.007832188377620435,0.04432758076661382,0.0075035048587811445,0.3201748985659306,1.0,2022,0.01368026480818856,Emerging,"Opioid Use, Prescription Patterns, and Stewardship (Efficacy Safety)",Emerging,0.020778
64,25,0.02597424162830613,0.00777189993087405,0.04417658332573821,0.007581833508152697,0.31949165574195804,0.92,2022,0.01368026480818856,Emerging,Relative Value Units and Surgical Work in TJA,Emerging,0.024521
20,81,0.025828083164630204,-0.010904604848786543,0.06256077117804695,0.1574773453177535,0.10232735767885426,0.6666666666666666,2017,0.19987457783103446,Stable,Depression and Mental Health in Arthroplasty,Stable,0.024594
82,19,0.02400862366900321,0.010371641377360971,0.03764560596064545,0.001573035009142177,0.4167902714571575,0.8947368421052632,2024,0.0037303401645371625,Emerging,Bibliometric Analysis of Joint Arthroplasty Literature,Emerging,0.021303
68,23,0.023390196445397176,0.011534572879811935,0.03524582001098242,0.0005702019112786386,0.4729789059248515,0.8695652173913043,2025,0.0017403465881231574,Emerging,Arthroplasty Volume Trends and Future Projections,Emerging,0.020474
74,22,0.02303073396893497,0.01166341261150208,0.03439805532636786,0.00044242858506713414,0.4862421429997402,0.8181818181818182,2024,0.0014688629024228851,Emerging,Postoperative Rehabilitation and Physical Therapy,Emerging,0.017911
22,82,0.022108483265769193,-0.016172718603339572,0.060389685134877955,0.2415756698767273,0.07141100425484148,0.6951219512195121,2023,0.28176931448983683,Stable,AAHKS Member Survey Studies,Stable,0.016358
77,19,0.020758837469166246,0.006581017052151524,0.03493665788618097,0.006379152227388069,0.33078592389073647,0.8947368421052632,2024,0.012313247322632784,Emerging,Bilateral Total Knee Arthroplasty and Simultaneous Staging,Emerging,0.020567
79,20,0.019215025701084354,0.005928577941673159,0.03250147346049555,0.006934785891885322,0.3253432895046531,0.9,2023,0.01308152793242004,Emerging,KOOS Outcomes After Simultaneous Bilateral TKA,Emerging,0.016974
44,42,0.019071143597844183,-0.0035735706824522075,0.04171585787814057,0.09402589984716073,0.1405512199120056,0.6904761904761905,2017,0.12793688011990723,Stable,30-Day Readmission and Postoperative Complications,Stable,0.012318
62,31,0.01833363659788719,0.00030221575559918196,0.0363650574401752,0.04663776738110631,0.1924799476086848,0.8064516129032258,2017,0.07168397578947822,Stable,Same-Day Discharge Protocols in Joint Arthroplasty,Stable,0.012973
52,37,0.01824210098096654,-0.0005629635192486368,0.03704716548118172,0.056555255530123597,0.17828543984638434,0.7567567567567568,2016,0.08534702198182288,Stable,Operating Room Air Contamination and Infection Prevention,Stable,0.011973
70,22,0.017221830720359356,-0.0016426294696295154,0.03608629091034823,0.0712420998277285,0.16118695205903733,0.7272727272727273,2019,0.1037384962403766,Stable,Femoral Stem Survival and Aseptic Loosening,Stable,0.01489
65,23,0.01627007901668278,0.0035447257981918914,0.028995432235173667,0.014940727365572986,0.27373465923619866,0.782608695652174,2025,0.02476512015313448,Emerging,Medicare Reimbursement and Bundled Payments (Cms),Emerging,0.016263
58,33,0.014712074839085286,-0.010843115047919214,0.04026726472608978,0.24301695378249108,0.07099116582803078,0.696969696969697,2014,0.28176931448983683,Stable,Patient Satisfaction After Joint Arthroplasty,Stable,0.009341
19,85,0.01467473976672349,-0.02715732899221745,0.05650680852566443,0.4717700989073319,0.027590907228939754,0.6352941176470588,2017,0.5152226080172178,Stable,"Patellar Resurfacing, PCL Management, and Knee Design",Stable,0.007733
78,19,0.012940146370230676,-0.00400987418017297,0.02989016692063432,0.1265682998904879,0.1184607340017182,0.9473684210526315,2018,0.16943820791791123,Stable,Preoperative Opioid Use and Outcomes,Stable,0.01379
63,23,0.01188957378976101,-0.003854850107758951,0.027633997687280972,0.1304804918250473,0.11620513915890618,0.782608695652174,2018,0.17190287018220518,Stable,Knee Flexion and Range of Motion After TKA,Emerging,0.018905
67,24,0.011120484871286881,-0.008990670949187209,0.031231640691760973,0.26147667293521004,0.06585411653822926,0.8333333333333334,2016,0.29729539525510185,Stable,Cardiac Complications and Medical Comorbidities After TJA,Stable,0.009323
73,22,0.010536421448298255,-0.005474087860479553,0.026546930757076065,0.18439738535583466,0.09078942947201452,0.7727272727272727,2021,0.22507327918432762,Stable,Authorship Trends and Publication Patterns in Arthroplasty,Stable,0.00691
56,31,0.010248383001375256,-0.0043808677447507265,0.024877633747501238,0.1589364112873286,0.10164990635178883,0.7096774193548387,2020,0.19987457783103446,Stable,Tibial Mechanical Axis and Varus-Valgus Alignment,Stable,0.014215
76,21,0.008788315723092927,-0.004881627512180908,0.022458258958366763,0.19427364811829262,0.08700443391565205,0.7142857142857143,2025,0.23369148976548243,Stable,Blood Loss and Transfusion Management (Hgb),Stable,0.007568
71,18,0.007441088085979624,-0.008560111000802124,0.023442287172761374,0.3426211527406322,0.04749312962015284,0.7777777777777778,2016,0.3842912929388172,Stable,Vancomycin Prophylaxis and Acute Kidney Injury Risk,Stable,0.013342
42,40,0.003957560876487533,-0.024229631356514354,0.03214475310948942,0.7720460602966911,0.004524566322330448,0.7,2021,0.8322054935665631,Stable,Lower Extremity Deformity and Ligament Reconstruction,Stable,0.005462
11,128,0.003670751821274586,-0.03260889800964871,0.039950401652197876,0.8345409204964358,0.0023548043330891,0.609375,2025,0.876796156977268,Stable,Aspirin vs Anticoagulant VTE Prophylaxis,Stable,0.012315
17,89,0.0021720166751815965,-0.055932847268085124,0.06027688061844832,0.9384558156058591,0.0003220744498052541,0.6067415730337079,2016,0.9736479086910789,Stable,Metal Ion Release and Cobalt-Chromium Toxicity,Stable,-0.003456
51,38,0.00047398202356417065,-0.026407088163739594,0.027355052210867932,0.9709454560102899,7.167939630070563e-05,0.5263157894736842,2013,0.986878281336086,Stable,Soft Tissue Balancing and Ligament Release in TKA,Stable,-0.003953
75,20,-0.00020175581123426924,-0.016307431701166785,0.015903920078698248,0.9793558392664392,3.618039634389891e-05,0.6,2016,0.986878281336086,Stable,Lower Extremity Alignment and Deformity Correction,Stable,0.001823
30,57,-0.00024722153882148835,-0.031298317631412546,0.03080387455376957,0.986878281336086,1.4615283064123297e-05,0.5263157894736842,2014,0.986878281336086,Stable,Unicompartmental Knee Arthroplasty Functional Outcomes,Stable,0.001501
66,25,-0.003513021583629236,-0.03035762628945655,0.023331583122198078,0.7871141402735246,0.003933063625658373,0.52,2016,0.8375701749064428,Stable,Blood Loss and Transfusion Management,Stable,-0.005879
69,23,-0.014758442172623547,-0.040473768687578404,0.01095688434233131,0.24442639329238858,0.07058334539348177,0.4782608695652174,2010,0.28176931448983683,Stable,Neurovascular Anatomy and Complication Avoidance,Stable,-0.013733
38,47,-0.018699833886775624,-0.04608698854653334,0.008687320772982093,0.16920904751057983,0.09705901370389902,0.5319148936170213,2015,0.209617178259375,Stable,Implant Biofilm and Infection Biology,Stable,-0.022284
39,43,-0.03477087035566936,-0.0744810433422953,0.004939302630956585,0.08256891203407354,0.15022033849421945,0.4186046511627907,2009,0.11615626608183229,Stable,Hip Dysplasia and Periacetabular Osteotomy,Stable,-0.027521
25,73,-0.03542883992649333,-0.07279476189570819,0.0019370820427215205,0.061830600044045864,0.17169170319655946,0.5205479452054794,2014,0.09164178220813941,Stable,Implant Survival Analysis and Competing Risk Methods,Stable,-0.035861
24,74,-0.046019608196090196,-0.07519893443966076,-0.01684028195251963,0.0037571127570744842,0.3644723583325914,0.47297297297297297,2014,0.007605862410662981,Cold,Biomechanical Testing and Implant Stability,Cold,-0.045553
81,20,-0.05215488997453716,-0.08342884826163838,-0.02088093168743594,0.0024475955419733376,0.3907038189126776,0.1,2011,0.005643067499549639,Cold,Knee Society Score and Clinical Outcome Reporting,Cold,-0.049175
57,34,-0.05891371018059734,-0.09180666548088794,-0.026020754880306737,0.0013598179277506956,0.4251692171332473,0.17647058823529413,2006,0.0033195555295090513,Cold,Ceramic Components and Periprosthetic Osteolysis,Cold,-0.056801
49,39,-0.06403126625794726,-0.08681672786008136,-0.041245804655813165,1.1550686610707995e-05,0.645491226730919,0.3333333333333333,2007,7.989224905739697e-05,Cold,Polyethylene Wear and Osteolysis,Cold,-0.062013
59,32,-0.07067282071695977,-0.0914534891122629,-0.04989215232165663,9.075586116344584e-07,0.7272781768080692,0.0625,2014,1.0761052109380007e-05,Cold,Extended Trochanteric Osteotomy and Periprosthetic Fracture,Cold,-0.067094
16,100,-0.07447855931216876,-0.11119649894782799,-0.03776061967650954,0.00043749566225370976,0.4868211941805288,0.51,2017,0.0014688629024228851,Cold,Implant Retrieval and Corrosion Analysis,Cold,-0.074009
26,72,-0.07482262532664473,-0.10649670284676399,-0.04314854780652546,9.004457667703862e-05,0.5626746926358316,0.3611111111111111,2017,0.0004152055480107892,Cold,Femoral Head Taper Corrosion and Modular Junction Failure,Cold,-0.075296
50,38,-0.10685484060654807,-0.1578437556653224,-0.05586592554777373,0.00031750021544890104,0.503126695669649,0.15789473684210525,2007,0.0011457616470547298,Cold,Minimally Invasive Surgical Approaches in TJA,Cold,-0.100255
21,84,-0.1279944665243215,-0.22449521969171912,-0.031493713356923886,0.012033548244040657,0.2885684952683285,0.5,2006,0.020808010505320305,Cold,Adverse Local Tissue Reactions and Implant Corrosion,Cold,-0.119699
8,194,-0.13104938227744692,-0.19088969274853318,-0.07120907180636067,0.0002028151718419481,0.525121399974365,0.4536082474226804,2011,0.0008016028220419854,Cold,"Knee Kinematics, Gap Balancing, and ROM",Cold,-0.131461
33,58,-0.1745845641969656,-0.2342368382669411,-0.1149322901269901,6.8837381912295375e-06,0.6638580523704953,0.034482758620689655,2005,5.713502698720516e-05,Cold,Osteolysis and Implant Loosening,Cold,-0.163328
12,136,-0.20193906115131383,-0.27172903727115205,-0.1321490850314756,7.970736167142006e-06,0.6587507434022726,0.25735294117647056,2012,6.014282744298059e-05,Cold,Ceramic-on-Ceramic Bearings and Fracture,Cold,-0.195169
18,87,-0.2230280544390638,-0.32177931621018424,-0.12427679266794335,0.0001466889827968689,0.540453301077562,0.022988505747126436,2011,0.0006407992406389536,Cold,Polyethylene Liner Performance,Cold,-0.210662
1,268,-0.25960733193229485,-0.31918668387002513,-0.20002797999456456,2.2715081386870475e-08,0.8140438299057265,0.3656716417910448,2014,6.284505850367498e-07,Cold,Acetabular Cup Orientation and Component Positioning,Cold,-0.241913
13,125,-0.3472039219184771,-0.4788206117609076,-0.2155872320760466,2.514929915054372e-05,0.6160504707782342,0.0,2009,0.0001490994163925092,Cold,Case Reports of Unusual Arthroplasty Complications,Cold,-0.326794
2,270,-0.4967972336705354,-0.5743730431938798,-0.419221424147191,3.913852572532952e-11,0.9043597541795477,0.2037037037037037,2014,3.2484976352023503e-09,Cold,Primary Total Hip Arthroplasty Technique and Outcomes,Cold,-0.47264
